id	len	rounds	transition	density1	density2
ENST00000378567.7	134926	42	23443	0.275565	1.0245
ENST00000377860.8	129089	182	36364.8	0.142782	1.04667
ENST00000545482.5	129494	200	36364.8	0.115251	1.05359
ENST00000303635.11	255000	114	54279.2	0.0340492	0.600695
ENST00000461311.1	102236	93	60000	0.0590909	0.73125
ENST00000445300.1	95965	30	68949.1	0.0820966	1.15159
ENST00000337907.7	255000	51	22630.9	0.204454	0.784938
ENST00000375592.7	105616	145	45000	0.11875	0.958333
ENST00000361221.7	158035	200	40000	0.257143	1.17826
ENST00000433834.5	145306	77	75000	0.303571	1.25
ENST00000375127.5	117105	5	10000	9.63941e-94	0.895238
ENST00000374632.7	203301	66	21862.6	0.276506	0.849554
ENST00000374332.8	168740	62	27354.6	0.0769829	0.946483
ENST00000373863.3	111292	59	35000	0.233333	0.94
ENST00000463428.5	97503	42	25000	0.175	0.892857
ENST00000493669.2	127413	174	25914.6	0.195757	0.962864
ENST00000526215.5	84339	74	50000	0.127778	0.741667
ENST00000441447.1	90197	194	26164.5	0.0810696	0.658477
ENST00000467673.5	149220	49	101387	0.258493	0.661149
ENST00000337495.9	214909	14	48551.1	0.187606	1.1092
ENST00000372572.5	158427	200	74999.9	0.214285	1.2
ENST00000361776.5	158671	200	74999.8	0.221427	1.1875
ENST00000372257.6	134139	29	20000	0.283333	0.825
ENST00000452396.5	107275	34	20000	0.283333	0.808824
ENST00000361297.6	232512	24	60000	0.277273	1.10882
ENST00000423209.5	88955	200	55000	0.165	0.825
ENST00000372006.5	92655	50	54032.6	0.164476	0.887897
ENST00000371843.7	174174	95	45000	0.25625	1.162
ENST00000489990.5	159799	36	55000	0.04	0.66
ENST00000287727.7	204592	190	95000	0.127778	1.42143
ENST00000357206.6	204142	31	95000	0.116667	1.40476
ENST00000257177.8	129708	58	40000	0.142857	1.10588
ENST00000628545.1	231865	200	55299.6	0.0231565	0.849083
ENST00000417664.6	178873	37	45000	0.175	1.07692
ENST00000294383.6	148755	84	55000	0.24	1.20833
ENST00000634364.1	255000	29	30000	0.22	1.17222
ENST00000407417.7	255000	31	50000	0.161111	1.01341
